"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-22","   60","   60","9.62"," 1354"," 1342","0.01",,"0.0","0.0",,"74","38","  479","  200",,,"  180",,"25.1",,,"39.1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-23","   40","   10","9.17"," 1953"," 1522","0.00",,"0.0","0.0",,"63","47","  690","  360",,,"  360",,"16.1",,,"18.3",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-24","  100","  100","9.84"," 0352"," 1737","0.16",,"0.0","0.0",,"47","36","    0","  350",,,"  360",,"14.1",,,"17.2","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-25","   90","   90","6.49"," 0750"," 0830","0.00",,"0.0","0.0",,"50","36","  351","   40",,,"   45",,"10.1",,,"13.9","    1",,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-26","   50","   60","7.61"," 0751"," 1424","0.00",,"0.0","0.0",,"53","35","  569","   50",,,"  360",,"12.1",,,"16.1",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-27","   50","   40","6.49"," 1550"," 1236","0.00",,"0.0","0.0",,"60","29","  685","   10",,,"  360",,"10.1",,,"21.9",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-28","  100","  100","6.49"," 0950"," 1353","0.00",,"0.0","0.0",,"67","41","  350","  160",,,"  180",,"13.0",,,"18.3",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-29","  100","  100","5.14"," 2352"," 0109","0.04",,"0.0","0.0",,"62","53","    0","  160",,,"  180",,"8.1",,,"11.4","    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-30","  100","  100","5.59"," 1453"," 1434","0.33",,"0.0","0.0",,"62","55","    0","  170",,,"  180",,"12.1",,,"20.8","    1",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-03-31","   70","   70","5.82"," 1752"," 1638","0.00",,"0.0","0.0",,"75","56","  173","  360",,,"  315",,"12.1",,,"13.9","    1",,,,,,,,,,,,"    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-04-01","   50","   60","6.04"," 1152"," 1247","0.00",,"0.0","0.0",,"77","51","  416","  270",,,"  270",,"12.1",,,"21.9","    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-04-02","   40","   30","12.53"," 1753"," 1743","0.00",,"0.0","0.0",,"66","41","  584","  360",,,"  360",,"21.9",,,"30.0",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-04-03","   60","   70","10.29"," 0135"," 0007","0.00",,"0.0","0.0",,"53","36","  193","  360",,,"  360",,"16.1",,,"21.9",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-04-04","    0","   10","8.05"," 1352"," 1439","0.00",,"0.0","0.0",,"67","29","  735","  230",,,"  225",,"15.0",,,"20.8",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-04-05","   40","   20","7.61"," 2051"," 2030","0.01",,"0.0","0.0",,"70","43","  688","   10",,,"  360",,"17.0",,,"27.5",,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-04-06","   80","  100","7.83"," 0950"," 0526","0.52",,"0.0","0.0",,"48","32","   13","  350",,,"  360",,"16.1",,,"19.5","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-04-07","    0","    0","5.82"," 0953"," 0941","0.00",,"0.0","0.0",,"53","29","  768","  330",,,"  360",,"8.9",,,"17.2",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-04-08","   30","   20","4.47"," 1652"," 1623","0.00",,"0.0","0.0",,"63","27","  745","   90",,,"   90",,"8.9",,,"13.9",,,,,,,,"    1",,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-04-09","   90","   80","8.50"," 0850"," 1158","0.00",,"0.0","0.0",,"75","39","  568","  180",,,"  180",,"21.9",,,"24.2",,,,,,,,,,,,,,,,,,,,,
